ano,cod_conta,nomenclaturas_observadas
2020,DespesaComPessoalNaoComputadaIndenizacaoDemissaoVoluntaria,Indenizações por Demissão e Incentivos à Demissão Voluntária
2020,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (III) = (I - II) | DESPESA TOTAL COM PESSOAL - DTP (VIII) = (IIIa + IIIb)
2020,DespesasPensoesInativosEPensionistas,Pensões
2020,LimiteDeAlertaDespesaComPessoalTotal,"LIMITE DE ALERTA (XI) = (0,90 x IX) (inciso II do §1º do art. 59 da LRF)"
2020,LimiteMaximoDespesaComPessoalTotal,"LIMITE MÁXIMO (IX) (incisos I, II e III, art. 20 da LRF)"
2020,LimitePrudencialDespesaComPessoalTotal,"LIMITE PRUDENCIAL (X) = (0,95 x IX) (parágrafo único do art. 22 da LRF)"
2020,ObrigacoesPatronais,Obrigações Patronais
2020,OutrosBeneficiosPrevidenciariosInativosEPensionistas,Outros Benefícios Previdenciários
2020,PercentualTrajetoriaRetornoAoLimiteDaDespesaTotalComPessoal,Percentual Trajetória de Retorno ao Limite da Despesa Total com Pessoal
2020,ReceitaCorrenteLiquidaAjustada,= RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DA DESPESA COM PESSOAL (VII) = (IV - V - VI)
2020,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV)
2020,TransferenciasObrigatoriasDaUniaoRelativasAsEmendasDeBancada,"(-) Transferências Obrigatórias da União relativas às Emendas de Bancada (art. 166, § 16, da CF) (VI)"
2020,TransferenciasObrigatoriasDaUniaoRelativasAsEmendasIndividuais,"(-) Transferências Obrigatórias da União relativas às Emendas Individuais (art. 166-A, §1º, da CF) (V)"
2020,VencimentosVantagensEOutrasDespesasVariaveis,"Vencimentos, Vantagens e Outras Despesas Variáveis"
2021,AposentadoriasReservaEReformas,"Aposentadorias, Reserva e Reformas"
2021,DespesaComPessoalAtivoBruta,Pessoal Ativo
2021,DespesaComPessoalAtivoBrutaEnteConsorciado,Pessoal Ativo
2021,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I)
2021,DespesaComPessoalBrutaEnteConsorciado,DESPESA BRUTA COM PESSOAL (I)
2021,DespesaComPessoalDecorrenteDeTerceirizacaoPorSubstituicaoBruta,Outras Despesas de Pessoal decorrentes de Contratos de Terceirização ou de contratação de forma indireta (§ 1º do art. 18 da LRF)
2021,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas
2021,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II)
2021,DespesaComPessoalNaoComputada,DESPESAS NÃO COMPUTADAS (§ 1º do art. 19 da LRF) (II)
2021,DespesaComPessoalNaoComputadaDecisaoJudicialPeriodoAnteriorAoDaApuracao,Decorrentes de Decisão Judicial de Período Anterior ao da Apuração
2021,DespesaComPessoalNaoComputadaExerciciosAnterioresAoPeriodoDaApuracao,Despesas de Exercícios Anteriores de Período Anterior ao da Apuração
2021,DespesaComPessoalNaoComputadaInativosEPensionistasComRecursosVinculados,Inativos e Pensionistas com Recursos Vinculados
2021,DespesaComPessoalNaoComputadaIndenizacaoDemissaoVoluntaria,Indenizações por Demissão e Incentivos à Demissão Voluntária
2021,DespesaComPessoalNaoExecutadaOrcamentariamente,Despesa com Pessoal não Executada Orçamentariamente
2021,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (III) = (I - II) | DESPESA TOTAL COM PESSOAL - DTP (VIII) = (IIIa + IIIb)
2021,DespesasPensoesInativosEPensionistas,Pensões
2021,LimiteDeAlertaDespesaComPessoalTotal,"LIMITE DE ALERTA (XI) = (0,90 x IX) (inciso II do §1º do art. 59 da LRF)"
2021,LimiteMaximoDespesaComPessoalTotal,"LIMITE MÁXIMO (IX) (incisos I, II e III, art. 20 da LRF)"
2021,LimitePrudencialDespesaComPessoalTotal,"LIMITE PRUDENCIAL (X) = (0,95 x IX) (parágrafo único do art. 22 da LRF)"
2021,ObrigacoesPatronais,Obrigações Patronais
2021,PercentualTrajetoriaRetornoAoLimiteDaDespesaTotalComPessoal,Percentual Trajetória de Retorno ao Limite da Despesa Total com Pessoal
2021,ReceitaCorrenteLiquidaAjustada,= RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DA DESPESA COM PESSOAL (VII) = (IV - V - VI)
2021,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV)
2021,TransferenciasObrigatoriasDaUniaoRelativasAsEmendasDeBancada,"(-) Transferências Obrigatórias da União relativas às Emendas de Bancada (art. 166, § 16, da CF) (VI)"
2021,TransferenciasObrigatoriasDaUniaoRelativasAsEmendasIndividuais,"(-) Transferências Obrigatórias da União relativas às Emendas Individuais (art. 166-A, §1º, da CF) (V)"
2021,VencimentosVantagensEOutrasDespesasVariaveis,"Vencimentos, Vantagens e Outras Despesas Variáveis"
2022,AposentadoriasReservaEReformas,"Aposentadorias, Reserva e Reformas"
2022,DespesaComPessoalAtivoBruta,Pessoal Ativo
2022,DespesaComPessoalAtivoBrutaEnteConsorciado,Pessoal Ativo
2022,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I)
2022,DespesaComPessoalBrutaEnteConsorciado,DESPESA BRUTA COM PESSOAL (I)
2022,DespesaComPessoalDecorrenteDeTerceirizacaoPorSubstituicaoBruta,Outras Despesas de Pessoal decorrentes de Contratos de Terceirização ou de contratação de forma indireta (§ 1º do art. 18 da LRF)
2022,DespesaComPessoalDecorrenteDeTerceirizacaoPorSubstituicaoBrutaEnteConsorciado,Outras despesas de pessoal decorrentes de contratos de terceirização ou de contratação de forma indireta (§ 1º art. 18 da LRF)
2022,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas
2022,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II)
2022,DespesaComPessoalNaoComputada,DESPESAS NÃO COMPUTADAS (§ 1º do art. 19 da LRF) (II)
2022,DespesaComPessoalNaoComputadaDecisaoJudicialPeriodoAnteriorAoDaApuracao,Decorrentes de Decisão Judicial de Período Anterior ao da Apuração
2022,DespesaComPessoalNaoComputadaExerciciosAnterioresAoPeriodoDaApuracao,Despesas de Exercícios Anteriores de Período Anterior ao da Apuração
2022,DespesaComPessoalNaoComputadaInativosEPensionistasComRecursosVinculados,Inativos e Pensionistas com Recursos Vinculados
2022,DespesaComPessoalNaoComputadaIndenizacaoDemissaoVoluntaria,Indenizações por Demissão e Incentivos à Demissão Voluntária
2022,DespesaComPessoalNaoExecutadaOrcamentariamente,Despesa com Pessoal não Executada Orçamentariamente
