ano,cod_conta,nomenclaturas_observadas
2025,PercentualLimiteArt15LC178,LIMITE CONFORME ART. 15 DA LC 178/2021 (%)
2025,PercentualLimiteMaximo,"Limite Máximo (VII) (%) (LRF, art. 20)"
2025,PercentualRedutorAnualDespesaComPessoal,"Redutor anual (XII) = (0,10 x XI) (%)"
2025,ReceitaCorrenteLiquidaAjustada,= RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DA DESPESA COM PESSOAL (V)
2025,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV)
2025,ReceitaCorrenteLiquidaTrajetoriaDeRetornoAoLimite,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DA DESPESA COM PESSOAL (V)
2025,TransferenciasDaUniaoRelativasARemuneracaoDosAgentesComunitariosDeSaude,"(-) Transferências da União relativas à remuneração dos agentes comunitários de saúde e de combate às endemias (CF, art. 198, §11)"
2025,TransferenciasObrigatoriasDaUniaoRelativasAsEmendasDeBancada,"(-) Transferências obrigatórias da União relativas às emendas de bancada (art. 166, § 16, da CF)"
2025,TransferenciasObrigatoriasDaUniaoRelativasAsEmendasIndividuais,"(-) Transferências Obrigatórias da União Relativas às Emendas Individuais (art. 166-A, §1º, da CF)"
2025,VencimentosVantagensEOutrasDespesasVariaveis,"Vencimentos, Vantagens e Outras Despesas Variáveis"
