exercicio,periodo,periodicidade,instituicao,cod_ibge,uf,co_poder,populacao,anexo,esfera,rotulo,coluna,cod_conta,conta,valor
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),DespesaComPessoalAtivoBruta,Pessoal Ativo,2229.5
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-11>,VencimentosVantagensEOutrasDespesasVariaveis,"Vencimentos, Vantagens e Outras Despesas Variáveis",3926612070.0
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-10>,VencimentosVantagensEOutrasDespesasVariaveis,"Vencimentos, Vantagens e Outras Despesas Variáveis",4106379900.05
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-9>,VencimentosVantagensEOutrasDespesasVariaveis,"Vencimentos, Vantagens e Outras Despesas Variáveis",4162206394.49
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-8>,VencimentosVantagensEOutrasDespesasVariaveis,"Vencimentos, Vantagens e Outras Despesas Variáveis",4172659661.46
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-7>,VencimentosVantagensEOutrasDespesasVariaveis,"Vencimentos, Vantagens e Outras Despesas Variáveis",4807644035.18
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-6>,VencimentosVantagensEOutrasDespesasVariaveis,"Vencimentos, Vantagens e Outras Despesas Variáveis",4805254649.85
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-5>,VencimentosVantagensEOutrasDespesasVariaveis,"Vencimentos, Vantagens e Outras Despesas Variáveis",4518951131.95
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-4>,VencimentosVantagensEOutrasDespesasVariaveis,"Vencimentos, Vantagens e Outras Despesas Variáveis",4640789974.04
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-3>,VencimentosVantagensEOutrasDespesasVariaveis,"Vencimentos, Vantagens e Outras Despesas Variáveis",4944622962.96
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-2>,VencimentosVantagensEOutrasDespesasVariaveis,"Vencimentos, Vantagens e Outras Despesas Variáveis",4702164230.94
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-1>,VencimentosVantagensEOutrasDespesasVariaveis,"Vencimentos, Vantagens e Outras Despesas Variáveis",4860323147.64
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR>,VencimentosVantagensEOutrasDespesasVariaveis,"Vencimentos, Vantagens e Outras Despesas Variáveis",10121894003.09
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,TOTAL (ÚLTIMOS 12 MESES) (a),VencimentosVantagensEOutrasDespesasVariaveis,"Vencimentos, Vantagens e Outras Despesas Variáveis",59769502161.65
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-11>,ObrigacoesPatronais,Obrigações Patronais,684144180.27
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-10>,ObrigacoesPatronais,Obrigações Patronais,942128986.79
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-9>,ObrigacoesPatronais,Obrigações Patronais,817234485.67
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-8>,ObrigacoesPatronais,Obrigações Patronais,845414589.91
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-7>,ObrigacoesPatronais,Obrigações Patronais,942090842.4
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-6>,ObrigacoesPatronais,Obrigações Patronais,1026628923.67
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-5>,ObrigacoesPatronais,Obrigações Patronais,763963813.72
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-4>,ObrigacoesPatronais,Obrigações Patronais,1098641312.73
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-3>,ObrigacoesPatronais,Obrigações Patronais,926401924.39
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-2>,ObrigacoesPatronais,Obrigações Patronais,931286614.67
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-1>,ObrigacoesPatronais,Obrigações Patronais,928632688.47
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR>,ObrigacoesPatronais,Obrigações Patronais,2027965156.65
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,TOTAL (ÚLTIMOS 12 MESES) (a),ObrigacoesPatronais,Obrigações Patronais,11934533519.34
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),ObrigacoesPatronais,Obrigações Patronais,2229.5
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-11>,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas,3972680388.67
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-10>,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas,4136341869.99
