ano,UF,metrica,fonte,status
2018,PB,DTP_RCL,DespesaComPessoalTotal | DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb) | % sobre a RCL Ajustada,ok
2018,PB,Limite_Alerta,"LimiteDeAlertaDespesaComPessoalTotal | LIMITE DE ALERTA (X) = (0,90 x VIII) (inciso II do §1º do art. 59 da LRF) | % sobre a RCL Ajustada",ok
2018,PB,Limite_Prudencial,"LimitePrudencialDespesaComPessoalTotal | LIMITE PRUDENCIAL (IX) = (0,95 x VIII) (parágrafo único do art. 22 da LRF) | % sobre a RCL Ajustada",ok
2018,PB,Limite_Maximo,"LimiteMaximoDespesaComPessoalTotal | LIMITE MÁXIMO (VIII) (incisos I, II e III, art. 20 da LRF) | % sobre a RCL Ajustada",ok
2018,PE,Receita_Corrente_Liquida,ReceitaCorrenteLiquidaLimiteLegal | RECEITA CORRENTE LIQUIDA - RCL (IV) | Valor,ok
2018,PE,RCL_Ajustada,ReceitaCorrenteLiquidaAjustada | = RECEITA CORRENTE LÍQUIDA AJUSTADA (VI) | Valor,ok
2018,PE,Despesa_Total_Pessoal,DespesaComPessoalTotal | DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb) | Valor,ok
2018,PE,DTP_RCL,DespesaComPessoalTotal | DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb) | % sobre a RCL Ajustada,ok
2018,PE,Limite_Alerta,"LimiteDeAlertaDespesaComPessoalTotal | LIMITE DE ALERTA (X) = (0,90 x VIII) (inciso II do §1º do art. 59 da LRF) | % sobre a RCL Ajustada",ok
2018,PE,Limite_Prudencial,"LimitePrudencialDespesaComPessoalTotal | LIMITE PRUDENCIAL (IX) = (0,95 x VIII) (parágrafo único do art. 22 da LRF) | % sobre a RCL Ajustada",ok
2018,PE,Limite_Maximo,"LimiteMaximoDespesaComPessoalTotal | LIMITE MÁXIMO (VIII) (incisos I, II e III, art. 20 da LRF) | % sobre a RCL Ajustada",ok
2018,PI,Receita_Corrente_Liquida,ReceitaCorrenteLiquidaLimiteLegal | RECEITA CORRENTE LIQUIDA - RCL (IV) | Valor,ok
2018,PI,RCL_Ajustada,ReceitaCorrenteLiquidaAjustada | = RECEITA CORRENTE LÍQUIDA AJUSTADA (VI) | Valor,ok
2018,PI,Despesa_Total_Pessoal,DespesaComPessoalTotal | DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb) | Valor,ok
2018,PI,DTP_RCL,DespesaComPessoalTotal | DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb) | % sobre a RCL Ajustada,ok
2018,PI,Limite_Alerta,"LimiteDeAlertaDespesaComPessoalTotal | LIMITE DE ALERTA (X) = (0,90 x VIII) (inciso II do §1º do art. 59 da LRF) | % sobre a RCL Ajustada",ok
2018,PI,Limite_Prudencial,"LimitePrudencialDespesaComPessoalTotal | LIMITE PRUDENCIAL (IX) = (0,95 x VIII) (parágrafo único do art. 22 da LRF) | % sobre a RCL Ajustada",ok
2018,PI,Limite_Maximo,"LimiteMaximoDespesaComPessoalTotal | LIMITE MÁXIMO (VIII) (incisos I, II e III, art. 20 da LRF) | % sobre a RCL Ajustada",ok
2018,PR,Receita_Corrente_Liquida,ReceitaCorrenteLiquidaLimiteLegal | RECEITA CORRENTE LIQUIDA - RCL (IV) | Valor,ok
2018,PR,RCL_Ajustada,ReceitaCorrenteLiquidaAjustada | = RECEITA CORRENTE LÍQUIDA AJUSTADA (VI) | Valor,ok
2018,PR,Despesa_Total_Pessoal,DespesaComPessoalTotal | DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb) | Valor,ok
2018,PR,DTP_RCL,DespesaComPessoalTotal | DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb) | % sobre a RCL Ajustada,ok
