exercicio,periodo,periodicidade,instituicao,cod_ibge,uf,co_poder,populacao,anexo,esfera,rotulo,coluna,cod_conta,conta,valor,uf_solicitada,nome_estado,regiao,periodo_selecionado
2015,3,Q,Governo do Estado do Acre,12,AC,E,790101,RGF-Anexo 01,E,,LIQUIDADAS (a),DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),2454398031.26,AC,Acre,Norte,3
2015,3,Q,Governo do Estado do Acre,12,AC,E,790101,RGF-Anexo 01,E,,LIQUIDADAS (a),DespesaComPessoalAtivoBruta,Pessoal Ativo,1934615785.57,AC,Acre,Norte,3
2015,3,Q,Governo do Estado do Acre,12,AC,E,790101,RGF-Anexo 01,E,,LIQUIDADAS (a),DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas,519782245.69,AC,Acre,Norte,3
2015,3,Q,Governo do Estado do Acre,12,AC,E,790101,RGF-Anexo 01,E,,LIQUIDADAS (a),DespesaComPessoalNaoComputada,DESPESAS NÃO COMPUTADAS (§ 1º do art. 19 da LRF) (II),527373698.72,AC,Acre,Norte,3
2015,3,Q,Governo do Estado do Acre,12,AC,E,790101,RGF-Anexo 01,E,,LIQUIDADAS (a),DespesaComPessoalNaoComputadaIndenizacaoDemissaoVoluntaria,Indenizações por Demissão e Incentivos à Demissão Voluntária,14348984.7,AC,Acre,Norte,3
2015,3,Q,Governo do Estado do Acre,12,AC,E,790101,RGF-Anexo 01,E,,LIQUIDADAS (a),DespesaComPessoalNaoComputadaDecisaoJudicialPeriodoAnteriorAoDaApuracao,Decorrentes de Decisão Judicial de Período Anterior ao da Apuração,707743.82,AC,Acre,Norte,3
2015,3,Q,Governo do Estado do Acre,12,AC,E,790101,RGF-Anexo 01,E,,LIQUIDADAS (a),DespesaComPessoalNaoComputadaExerciciosAnterioresAoPeriodoDaApuracao,Despesas de Exercícios Anteriores de Período Anterior ao da Apuração,5416581.27,AC,Acre,Norte,3
2015,3,Q,Governo do Estado do Acre,12,AC,E,790101,RGF-Anexo 01,E,,LIQUIDADAS (a),DespesaComPessoalNaoComputadaInativosEPensionistasComRecursosVinculados,Inativos e Pensionistas com Recursos Vinculados,506900388.93,AC,Acre,Norte,3
2015,3,Q,Governo do Estado do Acre,12,AC,E,790101,RGF-Anexo 01,E,,LIQUIDADAS (a),DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),1927024332.54,AC,Acre,Norte,3
2015,3,Q,Governo do Estado do Acre,12,AC,E,790101,RGF-Anexo 01,E,,Valor,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV),3949107687.38,AC,Acre,Norte,3
2015,3,Q,Governo do Estado do Acre,12,AC,E,790101,RGF-Anexo 01,E,,Valor,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),1927024332.54,AC,Acre,Norte,3
2015,3,Q,Governo do Estado do Acre,12,AC,E,790101,RGF-Anexo 01,E,,% sobre a RCL,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),48.8,AC,Acre,Norte,3
2015,3,Q,Governo do Estado do Acre,12,AC,E,790101,RGF-Anexo 01,E,,Valor,LimiteMaximoDespesaComPessoalTotal,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",1935062766.82,AC,Acre,Norte,3
2015,3,Q,Governo do Estado do Acre,12,AC,E,790101,RGF-Anexo 01,E,,% sobre a RCL,LimiteMaximoDespesaComPessoalTotal,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",49.0,AC,Acre,Norte,3
2015,3,Q,Governo do Estado do Acre,12,AC,E,790101,RGF-Anexo 01,E,,Valor,LimitePrudencialDespesaComPessoalTotal,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",1838309628.48,AC,Acre,Norte,3
2015,3,Q,Governo do Estado do Acre,12,AC,E,790101,RGF-Anexo 01,E,,% sobre a RCL,LimitePrudencialDespesaComPessoalTotal,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",46.55,AC,Acre,Norte,3
2015,3,Q,Governo do Estado do Acre,12,AC,E,790101,RGF-Anexo 01,E,,Valor,LimiteDeAlertaDespesaComPessoalTotal,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",1741556490.14,AC,Acre,Norte,3
2015,3,Q,Governo do Estado do Acre,12,AC,E,790101,RGF-Anexo 01,E,,% sobre a RCL,LimiteDeAlertaDespesaComPessoalTotal,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",44.1,AC,Acre,Norte,3
2016,3,Q,Governo do Estado do Acre,12,AC,E,803513,RGF-Anexo 01,E,,"DESPESAS LIQUIDADAS 
(a)",DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),2613213422.89,AC,Acre,Norte,3
2016,3,Q,Governo do Estado do Acre,12,AC,E,803513,RGF-Anexo 01,E,,DESPESAS INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),1820.0,AC,Acre,Norte,3
2016,3,Q,Governo do Estado do Acre,12,AC,E,803513,RGF-Anexo 01,E,,"DESPESAS LIQUIDADAS 
(a)",DespesaComPessoalAtivoBruta,Pessoal Ativo,2011555376.5,AC,Acre,Norte,3
2016,3,Q,Governo do Estado do Acre,12,AC,E,803513,RGF-Anexo 01,E,,DESPESAS INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),DespesaComPessoalAtivoBruta,Pessoal Ativo,1820.0,AC,Acre,Norte,3
2016,3,Q,Governo do Estado do Acre,12,AC,E,803513,RGF-Anexo 01,E,,"DESPESAS LIQUIDADAS 
(a)",DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas,601658046.39,AC,Acre,Norte,3
2016,3,Q,Governo do Estado do Acre,12,AC,E,803513,RGF-Anexo 01,E,,"DESPESAS LIQUIDADAS 
(a)",DespesaComPessoalNaoComputada,DESPESAS NÃO COMPUTADAS (§ 1º do art. 19 da LRF) (II),604909322.87,AC,Acre,Norte,3
2016,3,Q,Governo do Estado do Acre,12,AC,E,803513,RGF-Anexo 01,E,,"DESPESAS LIQUIDADAS 
(a)",DespesaComPessoalNaoComputadaIndenizacaoDemissaoVoluntaria,Indenizações por Demissão e Incentivos à Demissão Voluntária,4420945.36,AC,Acre,Norte,3
2016,3,Q,Governo do Estado do Acre,12,AC,E,803513,RGF-Anexo 01,E,,"DESPESAS LIQUIDADAS 
(a)",DespesaComPessoalNaoComputadaDecisaoJudicialPeriodoAnteriorAoDaApuracao,Decorrentes de Decisão Judicial de Período Anterior ao da Apuração,742656.21,AC,Acre,Norte,3
2016,3,Q,Governo do Estado do Acre,12,AC,E,803513,RGF-Anexo 01,E,,"DESPESAS LIQUIDADAS 
(a)",DespesaComPessoalNaoComputadaExerciciosAnterioresAoPeriodoDaApuracao,Despesas de Exercícios Anteriores de Período Anterior ao da Apuração,10758339.01,AC,Acre,Norte,3
2016,3,Q,Governo do Estado do Acre,12,AC,E,803513,RGF-Anexo 01,E,,"DESPESAS LIQUIDADAS 
(a)",DespesaComPessoalNaoComputadaInativosEPensionistasComRecursosVinculados,Inativos e Pensionistas com Recursos Vinculados,588987382.29,AC,Acre,Norte,3
2016,3,Q,Governo do Estado do Acre,12,AC,E,803513,RGF-Anexo 01,E,,"DESPESAS LIQUIDADAS 
(a)",DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),2008304100.02,AC,Acre,Norte,3
2016,3,Q,Governo do Estado do Acre,12,AC,E,803513,RGF-Anexo 01,E,,DESPESAS INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),1820.0,AC,Acre,Norte,3
2016,3,Q,Governo do Estado do Acre,12,AC,E,803513,RGF-Anexo 01,E,,Valor,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV),4442141070.9,AC,Acre,Norte,3
2016,3,Q,Governo do Estado do Acre,12,AC,E,803513,RGF-Anexo 01,E,,Valor,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),2008305920.02,AC,Acre,Norte,3
2016,3,Q,Governo do Estado do Acre,12,AC,E,803513,RGF-Anexo 01,E,,% sobre a RCL,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),45.21,AC,Acre,Norte,3
2016,3,Q,Governo do Estado do Acre,12,AC,E,803513,RGF-Anexo 01,E,,Valor,LimiteMaximoDespesaComPessoalTotal,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",2176649124.74,AC,Acre,Norte,3
2016,3,Q,Governo do Estado do Acre,12,AC,E,803513,RGF-Anexo 01,E,,% sobre a RCL,LimiteMaximoDespesaComPessoalTotal,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",49.0,AC,Acre,Norte,3
2016,3,Q,Governo do Estado do Acre,12,AC,E,803513,RGF-Anexo 01,E,,Valor,LimitePrudencialDespesaComPessoalTotal,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",2067816668.5,AC,Acre,Norte,3
2016,3,Q,Governo do Estado do Acre,12,AC,E,803513,RGF-Anexo 01,E,,% sobre a RCL,LimitePrudencialDespesaComPessoalTotal,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",46.55,AC,Acre,Norte,3
2016,3,Q,Governo do Estado do Acre,12,AC,E,803513,RGF-Anexo 01,E,,Valor,LimiteDeAlertaDespesaComPessoalTotal,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",1958984212.27,AC,Acre,Norte,3
2016,3,Q,Governo do Estado do Acre,12,AC,E,803513,RGF-Anexo 01,E,,% sobre a RCL,LimiteDeAlertaDespesaComPessoalTotal,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",44.1,AC,Acre,Norte,3
2017,3,Q,Governo do Estado do Acre,12,AC,E,816687,RGF-Anexo 01,E,Padrão,"DESPESAS LIQUIDADAS 
(a)",DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),3145121287.51,AC,Acre,Norte,3
2017,3,Q,Governo do Estado do Acre,12,AC,E,816687,RGF-Anexo 01,E,Padrão,DESPESAS INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),794936.13,AC,Acre,Norte,3
2017,3,Q,Governo do Estado do Acre,12,AC,E,816687,RGF-Anexo 01,E,Padrão,"DESPESAS LIQUIDADAS 
(a)",DespesaComPessoalAtivoBruta,Pessoal Ativo,2404177705.72,AC,Acre,Norte,3
2017,3,Q,Governo do Estado do Acre,12,AC,E,816687,RGF-Anexo 01,E,Padrão,DESPESAS INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),DespesaComPessoalAtivoBruta,Pessoal Ativo,794936.13,AC,Acre,Norte,3
2017,3,Q,Governo do Estado do Acre,12,AC,E,816687,RGF-Anexo 01,E,Padrão,"DESPESAS LIQUIDADAS 
(a)",DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas,740943581.79,AC,Acre,Norte,3
2017,3,Q,Governo do Estado do Acre,12,AC,E,816687,RGF-Anexo 01,E,Padrão,"DESPESAS LIQUIDADAS 
(a)",DespesaComPessoalNaoComputada,DESPESAS NÃO COMPUTADAS (§ 1º do art. 19 da LRF) (II),737179837.21,AC,Acre,Norte,3
2017,3,Q,Governo do Estado do Acre,12,AC,E,816687,RGF-Anexo 01,E,Padrão,"DESPESAS LIQUIDADAS 
(a)",DespesaComPessoalNaoComputadaIndenizacaoDemissaoVoluntaria,Indenizações por Demissão e Incentivos à Demissão Voluntária,1568159.15,AC,Acre,Norte,3
2017,3,Q,Governo do Estado do Acre,12,AC,E,816687,RGF-Anexo 01,E,Padrão,"DESPESAS LIQUIDADAS 
(a)",DespesaComPessoalNaoComputadaDecisaoJudicialPeriodoAnteriorAoDaApuracao,Decorrentes de Decisão Judicial de Período Anterior ao da Apuração,852822.13,AC,Acre,Norte,3
2017,3,Q,Governo do Estado do Acre,12,AC,E,816687,RGF-Anexo 01,E,Padrão,"DESPESAS LIQUIDADAS 
(a)",DespesaComPessoalNaoComputadaExerciciosAnterioresAoPeriodoDaApuracao,Despesas de Exercícios Anteriores de Período Anterior ao da Apuração,6877168.51,AC,Acre,Norte,3
2017,3,Q,Governo do Estado do Acre,12,AC,E,816687,RGF-Anexo 01,E,Padrão,"DESPESAS LIQUIDADAS 
(a)",DespesaComPessoalNaoComputadaInativosEPensionistasComRecursosVinculados,Inativos e Pensionistas com Recursos Vinculados,727881687.42,AC,Acre,Norte,3
2017,3,Q,Governo do Estado do Acre,12,AC,E,816687,RGF-Anexo 01,E,Padrão,"DESPESAS LIQUIDADAS 
(a)",DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),2407941450.3,AC,Acre,Norte,3
2017,3,Q,Governo do Estado do Acre,12,AC,E,816687,RGF-Anexo 01,E,Padrão,DESPESAS INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),794936.13,AC,Acre,Norte,3
2017,3,Q,Governo do Estado do Acre,12,AC,E,816687,RGF-Anexo 01,E,Padrão,Valor,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV),4471916240.14,AC,Acre,Norte,3
2017,3,Q,Governo do Estado do Acre,12,AC,E,816687,RGF-Anexo 01,E,Padrão,Valor,ReceitaCorrenteLiquidaAjustada,= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI),4471916240.14,AC,Acre,Norte,3
2017,3,Q,Governo do Estado do Acre,12,AC,E,816687,RGF-Anexo 01,E,Padrão,Valor,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb),2408736386.43,AC,Acre,Norte,3
2017,3,Q,Governo do Estado do Acre,12,AC,E,816687,RGF-Anexo 01,E,Padrão,% sobre a RCL Ajustada,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb),53.86,AC,Acre,Norte,3
2017,3,Q,Governo do Estado do Acre,12,AC,E,816687,RGF-Anexo 01,E,Padrão,Valor,LimiteMaximoDespesaComPessoalTotal,"LIMITE MÁXIMO (VIII) (incisos I, II e III, art. 20 da LRF)",2191238957.67,AC,Acre,Norte,3
